market,alias,name,id,conf_name,conf_alias,conf_id,venue_capacity
Princeton,PRIN,Tigers,fe406882-9f22-495e-9df6-ef357a6803c6,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,6854
Yale,YALE,Bulldogs,ca478771-aa3d-4231-81e0-b70f519134fb,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,2532
Harvard,HARV,Crimson,5c7bf63f-bc39-43c5-9907-73b50b7a6b34,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,2195
Dartmouth,DART,Big Green,d60357bd-1205-42e9-9092-d986a2843a34,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,2100
Cornell,COR,Big Red,88ff8c00-958e-4ccf-a21d-77fab9e93692,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,4473
Columbia,CLMB,Lions,ca74bd67-034c-4468-8487-6f983f5eb4f6,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,2500
Brown,BRWN,Bears,558abf02-97f4-4323-aa99-63c076d35932,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,2800
Pennsylvania,PENN,Quakers,e6c94452-1adf-4fb9-90e5-10f165c57c5a,Ivy,IVY,c2d16439-b791-4f9b-84d9-80cf457a0676,8722
Oklahoma State,OKST,Cowboys,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,Big 12,BIG12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557,13611
Texas,TEX,Longhorns,6ed15092-2670-450a-99c2-61d861e87644,Big 12,BIG12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557,16540
Texas Tech,TTU,Red Raiders,f8c705b7-87d3-411a-9c8b-5124daab0469,Big 12,BIG12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557,15098
Baylor,BAY,Bears,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,Big 12,BIG12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557,10284
Iowa State,ISU,Cyclones,0e4258fa-3154-4c16-b693-adecab184c6c,Big 12,BIG12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557,14384
TCU,TCU,Horned Frogs,f7fcbb6e-4a55-41ea-ba21-f763ed914467,Big 12,BIG12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557,7201
Oklahoma,OKLA,Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e,Big 12,BIG12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557,11562
West Virginia,WVU,Mountaineers,f770d3a2-221c-49ce-9c7a-680f7417fe9e,Big 12,BIG12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557,14000
Kansas,KU,Jayhawks,fae4855b-1b64-4b40-a632-9ed345e1e952,Big 12,BIG12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557,16300
Kansas State,KSU,Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb,Big 12,BIG12,2853cf4d-6d62-4ec6-8e2c-d69f7a01a557,12528
